# Copyright (c) 1966-2016 Johns Hopkins University. Use of this file adheres to the terms specified at https://omim.org/help/agreement.
# Generated: 2016-10-12
# This file provides links between the genes in OMIM and other gene identifiers.
# THIS IS NOT A TABLE OF GENE-PHENOTYPE RELATIONSHIPS.
# MIM Number	MIM Entry Type (see FAQ 1.3 at https://omim.org/help/faq)	Entrez Gene ID (NCBI)	Approved Gene Symbol (HGNC)	Ensembl Gene ID (Ensembl)
102776	gene	135	ADORA2A	ENSG00000128271,ENST00000337539
102777	gene			
102800	phenotype			
102900	phenotype			
102910	gene	506	ATP5B	ENSG00000110955,ENST00000551020
102920	moved/removed			
102930	moved/removed			
102940	moved/removed			
102970	moved/removed			
102980	gene	116	ADCYAP1	ENSG00000141433,ENST00000450565
102981	gene	117	ADCYAP1R1	ENSG00000078549,ENST00000304166
102990	moved/removed			
103000	gene	203	AK1	ENSG00000106992,ENST00000373176
103020	gene	204	AK2	ENSG00000004455,ENST00000354858
103030	gene	205	AK4	ENSG00000162433,ENST00000327299
103050	phenotype			
103060	gene	159	ADSS	ENSG00000035687,ENST00000366535
103070	gene	114	ADCY8	ENSG00000155897,ENST00000286355
103071	gene	108	ADCY2	ENSG00000078295,ENST00000338316
103072	gene	107	ADCY1	ENSG00000164742,ENST00000297323
103100	phenotype			
103180	gene	375	ARF1	ENSG00000143761,ENST00000272102
103188	gene	381	ARF5	ENSG00000004059,ENST00000000233
103190	gene	377	ARF3	ENSG00000134287,ENST00000256682
103195	gene	123	PLIN2	ENSG00000147872,ENST00000472715
103200	phenotype			
103220	gene	291	SLC25A4	ENSG00000151729,ENST00000281456
103230	predominantly phenotypes			
103260	gene	2230	FDX1	ENSG00000137714,ENST00000260270
103270	gene	2232	FDXR	ENSG00000161513,ENST00000293195
103275	gene	133	ADM	ENSG00000148926,ENST00000278175
103280	gene	283120	H19	ENSG00000130600,ENST00000414790
103285	phenotype			
103300	phenotype			
103320	gene	375790	AGRN	ENSG00000188157,ENST00000379370
103321	moved/removed			
103390	gene	79026	AHNAK	ENSG00000124942,ENST00000257247
103400	predominantly phenotypes			
103420	phenotype			
103470	phenotype			
103500	phenotype			
103580	phenotype			
103581	moved/removed			
103600	gene	213	ALB	ENSG00000163631,ENST00000295897
103700	gene	124	ADH1A	ENSG00000187758,ENST00000209668
103710	gene	128	ADH5	ENSG00000197894,ENST00000296412
103720	gene/phenotype	125	ADH1B	ENSG00000196616,ENST00000305046
103730	gene	126	ADH1C	ENSG00000248144,ENST00000515683
103735	gene	130	ADH6	ENSG00000172955,ENST00000394899
103740	gene	127	ADH4	ENSG00000198099,ENST00000265512
103780	phenotype			
103800	moved/removed			
103830	gene	10327	AKR1A1	ENSG00000117448,ENST00000372070
103850	gene	226	ALDOA	ENSG00000149925,ENST00000564546
103870	gene	230	ALDOC	ENSG00000109107,ENST00000226253
103880	gene	231	AKR1B1	ENSG00000085662,ENST00000285930
103890	gene			
103900	phenotype			
103920	predominantly phenotypes			
103950	gene	2	A2M	ENSG00000175899,ENST00000318602
104000	phenotype	100034700		
104100	phenotype			
104110	predominantly phenotypes			
104130	phenotype			
104145	gene	173	AFM	ENSG00000079557,ENST00000226355
104150	gene	174	AFP	ENSG00000081051,ENST00000395792
104155	gene	463	ZFHX3	ENSG00000140836,ENST00000268489
104160	gene	23193	GANAB	ENSG00000089597,ENST00000356638
104170	gene	4668	NAGA	ENSG00000198951,ENST00000402937
104175	gene	2681	GGTA1P	ENSG00000204136,ENST00000488429
104180	gene	2595	GANC	ENSG00000214013,ENST00000318010
104200	phenotype			
104210	gene	150	ADRA2A	ENSG00000150594,ENST00000280155
104219	gene	146	ADRA1D	ENSG00000171873,ENST00000379453
104220	gene	147	ADRA1B	ENSG00000170214,ENST00000306675
104221	gene	148	ADRA1A	ENSG00000120907,ENST00000380582
104222	moved/removed			
104225	gene	4043	LRPAP1	ENSG00000163956,ENST00000500728
104230	gene	2526	FUT4	ENSG00000196371,ENST00000358752
104240	gene	6484	ST3GAL4	ENSG00000110080,ENST00000530591
104250	gene/phenotype	152	ADRA2C	ENSG00000184160,ENST00000509482
104260	gene	151	ADRA2B	ENSG00000274286,ENST00000620793
104290	phenotype			
104300	phenotype			
104310	phenotype			
104311	gene	5663	PSEN1	ENSG00000080815,ENST00000324501
104350	predominantly phenotypes			
104400	predominantly phenotypes			
104500	phenotype			
104510	phenotype			
104530	phenotype			
104570	phenotype			
104600	predominantly phenotypes			
104610	gene	26	AOC1	ENSG00000002726,ENST00000360937
104613	gene	908	CCT6A	ENSG00000146731,ENST00000275603
104614	gene	6519	SLC3A1	ENSG00000138079,ENST00000260649
104615	gene	6541	SLC7A1	ENSG00000139514,ENST00000380752
104620	gene	95	ACY1	ENSG00000243989,ENST00000636358
104640	gene	374	AREG	ENSG00000109321,ENST00000395748
104650	gene	279	AMY2A	ENSG00000243480,ENST00000414303
104660	gene	280	AMY2B	ENSG00000240038,ENST00000361355
104700	gene	276	AMY1A	ENSG00000237763,ENST00000370083
104701	gene	277	AMY1B	ENSG00000174876,ENST00000370080
104702	gene	278	AMY1C	ENSG00000174876,ENST00000370080
104740	moved/removed			
104750	gene	6288	SAA1	ENSG00000173432,ENST00000356524
104751	gene	6289	SAA2	ENSG00000134339,ENST00000414546
104752	gene	6291	SAA4	ENSG00000148965,ENST00000278222
104760	gene	351	APP	ENSG00000142192,ENST00000357903
104770	gene	325	APCS	ENSG00000132703,ENST00000255040
104775	gene	333	APLP1	ENSG00000105290,ENST00000537454
104776	gene	334	APLP2	ENSG00000084234,ENST00000338167
105120	phenotype			
105150	phenotype			
105200	phenotype			
105210	phenotype			
105250	phenotype			
105300	predominantly phenotypes			
105400	phenotype			
105500	phenotype			
105550	phenotype			
105563	predominantly phenotypes	100187749		
105565	predominantly phenotypes			
105570	predominantly phenotypes			
105580	predominantly phenotypes	8066		
105590	gene	238	ALK	ENSG00000171094,ENST00000389048
105600	phenotype	981	CDAN3	
105650	phenotype			
105800	phenotype	116833	ANIB1	
105805	predominantly phenotypes			
105830	phenotype			
105835	predominantly phenotypes			
105850	gene	283	ANG	ENSG00000214274,ENST00000336811
106050	predominantly phenotypes			
106070	phenotype			
106100	phenotype			
106150	gene/phenotype	183	AGT	ENSG00000135744,ENST00000366667
106160	moved/removed			
106165	gene	185	AGTR1	ENSG00000144891,ENST00000349243
106180	gene/phenotype	1636	ACE	ENSG00000159640,ENST00000290866
106190	phenotype			
106195	gene	6508	SLC4A3	ENSG00000114923,ENST00000273063
106200	moved/removed			
106210	phenotype			
106220	predominantly phenotypes			
106230	predominantly phenotypes			
106240	predominantly phenotypes			
106250	predominantly phenotypes	170	AFA	
106260	phenotype			
106280	predominantly phenotypes			
106300	phenotype			
106400	predominantly phenotypes			
106410	gene	287	ANK2	ENSG00000145362,ENST00000357077
106490	gene	306	ANXA3	ENSG00000138772,ENST00000264908
106491	gene	307	ANXA4	ENSG00000196975,ENST00000394295
106500	predominantly phenotypes			
106600	phenotype			
106700	phenotype	6893	TAPVR1	
106750	predominantly phenotypes			
106900	predominantly phenotypes			
106990	predominantly phenotypes			
106995	phenotype			
107000	phenotype			
107100	phenotype			
107200	phenotype	550625		
107240	moved/removed			
107250	phenotype			
107253	moved/removed			
107254	gene	4273	MIC12	
107257	gene			
107260	gene			
107265	gene	930	CD19	ENSG00000177455,ENST00000324662
107266	gene	933	CD22	ENSG00000012124,ENST00000536635
107269	gene	960	CD44	ENSG00000026508,ENST00000428726
107270	gene	952	CD38	ENSG00000004468,ENST00000226279
107271	gene	966	CD59	ENSG00000085063,ENST00000351554
107272	gene	971	CD72	ENSG00000137101,ENST00000396757
107273	gene	969	CD69	ENSG00000110848,ENST00000228434
107280	gene	12	SERPINA3	ENSG00000273259,ENST00000553947
107285	gene	6590	SLPI	ENSG00000124107,ENST00000338380
107290	phenotype			
107300	gene	462	SERPINC1	ENSG00000117601,ENST00000367698
107310	gene	6548	SLC9A1	ENSG00000090020,ENST00000263980
107320	predominantly phenotypes	100499532		
107323	gene	501	ALDH7A1	ENSG00000164904,ENST00000409134
107325	gene	10849	CD3EAP	ENSG00000117877,ENST00000309424
107400	gene	5265	SERPINA1	ENSG00000197249,ENST00000440909
107410	predominantly phenotypes	390502	SERPINA2	ENSG00000274821,ENST00000616052
107440	predominantly phenotypes			
107450	gene	3454	IFNAR1	ENSG00000142166,ENST00000270139
107460	moved/removed			
107470	gene	3459	IFNGR1	ENSG00000027697,ENST00000367739
107480	phenotype			
107500	predominantly phenotypes			
107550	predominantly phenotypes			
107580	gene	7020	TFAP2A	ENSG00000137203,ENST00000379613
107600	phenotype			
107601	moved/removed			
107640	predominantly phenotypes			
107650	phenotype			
107670	gene/phenotype	336	APOA2	ENSG00000158874,ENST00000367990
107680	gene/phenotype	335	APOA1	ENSG00000118137,ENST00000236850
107690	gene	337	APOA4	ENSG00000110244,ENST00000357780
107700	predominantly phenotypes			
107710	gene	341	APOC1	ENSG00000130208,ENST00000588750
107720	gene	345	APOC3	ENSG00000110245,ENST00000227667
107730	gene/phenotype	338	APOB	ENSG00000084674,ENST00000233242
107740	gene	347	APOD	ENSG00000189058,ENST00000343267
107741	gene/phenotype	348	APOE	ENSG00000130203,ENST00000252486
107748	gene	328	APEX1	ENSG00000100823,ENST00000216714
107750	phenotype			
107760	gene	319	APOF	ENSG00000175336,ENST00000398189
107770	gene	4035	LRP1	ENSG00000123384,ENST00000243077
107773	gene	7026	NR2F2	ENSG00000185551,ENST00000394166
107776	gene	358	AQP1	ENSG00000240583,ENST00000311813
107777	gene	359	AQP2	ENSG00000167580,ENST00000199280
107800	predominantly phenotypes			
107820	gene	5917	RARS	ENSG00000113643,ENST00000231572
107830	gene	384	ARG2	ENSG00000081181,ENST00000261783
107840	moved/removed			
107850	predominantly phenotypes			
107900	predominantly phenotypes			
107910	gene	1588	CYP19A1	ENSG00000137869,ENST00000396402
107920	predominantly phenotypes	8083		
107930	gene	1644	DDC	ENSG00000132437,ENST00000357936
107940	gene	408	ARRB1	ENSG00000137486,ENST00000420843
107941	gene	409	ARRB2	ENSG00000141480,ENST00000346341
107950	moved/removed			
107970	phenotype			
108000	predominantly phenotypes			
108010	phenotype			
108050	predominantly phenotypes			
108100	predominantly phenotypes			
108110	moved/removed			
108120	phenotype			
108130	moved/removed			
108140	moved/removed			
108145	phenotype			
108200	predominantly phenotypes			
108300	phenotype			
108320	predominantly phenotypes			
108330	gene	1543	CYP1A1	ENSG00000140465,ENST00000379727
108340	phenotype			
108345	gene	9	NAT1	ENSG00000171428,ENST00000307719
108355	gene	2885	GRB2	ENSG00000177885,ENST00000316804
108360	gene	432	ASGR1	ENSG00000141505,ENST00000269299
108361	gene	433	ASGR2	ENSG00000161944,ENST00000254850
108370	gene	440	ASNS	ENSG00000070669,ENST00000394308
108390	phenotype			
108400	moved/removed			
108410	gene	4677	NARS	ENSG00000134440,ENST00000256854
108420	phenotype	100653377		
108450	predominantly phenotypes			
108500	phenotype			
108600	phenotype			
108650	phenotype			
108700	predominantly phenotypes			
108720	phenotype			
108721	phenotype			
108725	phenotype	470	ATHS	
108728	gene	47	ACLY	ENSG00000131473,ENST00000352035
108729	gene	509	ATP5C1	ENSG00000165629,ENST00000356708
108730	gene	487	ATP2A1	ENSG00000196296,ENST00000357084
108731	gene	490	ATP2B1	ENSG00000070961,ENST00000428670
108732	gene	493	ATP2B4	ENSG00000058668,ENST00000357681
108733	gene	491	ATP2B2	ENSG00000157087,ENST00000352432
108740	gene	488	ATP2A2	ENSG00000174437,ENST00000308664
108745	gene	527	ATP6V0C	ENSG00000185883,ENST00000330398
108746	gene	529	ATP6V1E1	ENSG00000131100,ENST00000253413
108760	phenotype			
108770	phenotype			
108780	gene	4878	NPPA	ENSG00000175206,ENST00000376480
108800	phenotype	431	ASD1	
108900	phenotype			
108950	predominantly phenotypes			
108960	gene	4881	NPR1	ENSG00000169418,ENST00000368680
108961	gene	4882	NPR2	ENSG00000159899,ENST00000342694
108962	gene	4883	NPR3	ENSG00000113389,ENST00000265074
108970	moved/removed			
108980	phenotype			
108985	phenotype			
108990	gene	4270	MIC7	
109000	phenotype			
109050	predominantly phenotypes			
109090	gene	6741	SSB	ENSG00000138385,ENST00000260956
109091	gene	811	CALR	ENSG00000179218,ENST00000316448
109092	gene	6737	TRIM21	ENSG00000132109,ENST00000254436
109100	phenotype			
109110	gene			
109120	predominantly phenotypes			
109130	predominantly phenotypes			
109135	gene	558	AXL	ENSG00000167601,ENST00000301178
109150	phenotype			
109160	phenotype			
109170	gene	7940	LST1	ENSG00000206433,ENST00000443340
109180	predominantly phenotypes	628		
109190	gene	6510	SLC1A5	ENSG00000105281,ENST00000542575
109195	gene	671	BPI	ENSG00000101425,ENST00000417318
109200	phenotype	100188784		
109270	gene/phenotype	6521	SLC4A1	ENSG00000004939,ENST00000262418
109280	gene	6522	SLC4A2	ENSG00000164889,ENST00000413384
109300	predominantly phenotypes			
109350	phenotype	59330		
109390	moved/removed			
109400	phenotype			
109480	gene	682	BSG	ENSG00000172270,ENST00000333511
109500	phenotype			
109530	gene	962	CD48	ENSG00000117091,ENST00000368046
109535	gene	958	CD40	ENSG00000101017,ENST00000372285
109540	predominantly phenotypes			
109543	phenotype	8101		
109545	gene	608	TNFRSF17	ENSG00000048462,ENST00000053243
109560	gene	602	BCL3	ENSG00000069399,ENST00000164227
109565	gene	604	BCL6	ENSG00000113916,ENST00000406870
109580	gene	694	BTG1	ENSG00000133639,ENST00000256015
109600	predominantly phenotypes			
109610	gene	706	TSPO	ENSG00000100300,ENST00000337554
109630	gene/phenotype	153	ADRB1	ENSG00000043591,ENST00000369295
109635	gene	156	GRK2	ENSG00000173020,ENST00000308595
109636	gene	157	GRK3	ENSG00000100077,ENST00000324198
109640	gene			
109650	phenotype			
109660	phenotype	8212		
109670	predominantly phenotypes	8213		
109675	gene	6480	ST6GAL1	ENSG00000073849,ENST00000169298
109684	gene	3292	HSD17B1	ENSG00000108786,ENST00000585807
109685	gene	3294	HSD17B2	ENSG00000086696,ENST00000199936
109690	gene/phenotype	154	ADRB2	ENSG00000169252,ENST00000305988
109691	gene	155	ADRB3	ENSG00000188778,ENST00000345060
109700	gene	567	B2M	ENSG00000273686,ENST00000617605
109710	gene	568	B2MR	
109715	gene	3283	HSD3B1	ENSG00000203857,ENST00000369413
109720	phenotype			
109730	phenotype			
109740	predominantly phenotypes			
109750	gene	644	BLVRA	ENSG00000106605,ENST00000265523
109760	gene	3350	HTR1A	ENSG00000178394,ENST00000323865
109770	gene	634	CEACAM1	ENSG00000079385,ENST00000161559
109780	gene	7951		
109800	phenotype			
109820	predominantly phenotypes			
109900	predominantly phenotypes			
110000	predominantly phenotypes			
110050	predominantly phenotypes			
110100	phenotype			
110150	predominantly phenotypes			
110250	predominantly phenotypes			
110300	gene	28	ABO	ENSG00000175164,ENST00000453660
110310	predominantly phenotypes			
110350	phenotype	100187761		
110450	phenotype			
110500	phenotype			
110600	gene	420	ART4	ENSG00000111339,ENST00000228936
110700	phenotype			
110720	predominantly phenotypes			
110750	gene	2995	GYPC	ENSG00000136732,ENST00000259254
110800	phenotype			
110900	phenotype			
111000	phenotype			
111100	gene/phenotype	2525	FUT3	ENSG00000171124,ENST00000589918
111130	phenotype			
111150	phenotype			
111200	phenotype			
111250	phenotype			
111300	gene/phenotype	2993	GYPA	ENSG00000170180,ENST00000360771
111360	predominantly phenotypes			
111380	phenotype			
111400	phenotype			
111410	moved/removed			
111500	phenotype			
111600	phenotype			
111620	phenotype			
111680	gene	6007	RHD	ENSG00000187010,ENST00000328664
111690	phenotype			
111700	gene/phenotype	6006	RHCE	ENSG00000188672,ENST00000294413
111730	gene	124872	B4GALNT2	ENSG00000167080,ENST00000300404
111740	gene/phenotype	2994	GYPB	ENSG00000250361,ENST00000502664
111750	phenotype			
111800	phenotype	6420		
112000	phenotype			
112010	phenotype			
112050	phenotype			
112100	phenotype			
112200	phenotype			
112203	gene	941	CD80	ENSG00000121594,ENST00000264246
112205	gene	973	CD79A	ENSG00000105369,ENST00000221972
112210	gene	931	MS4A1	ENSG00000156738,ENST00000534668
112240	phenotype			
112250	phenotype			
112260	gene	632	BGLAP	ENSG00000242252,ENST00000368272
112261	gene	650	BMP2	ENSG00000125845,ENST00000378827
112262	gene	652	BMP4	ENSG00000125378,ENST00000245451
112263	gene	651	BMP3	ENSG00000152785,ENST00000282701
112264	gene	649	BMP1	ENSG00000168487,ENST00000306385
112265	gene	653	BMP5	ENSG00000112175,ENST00000370830
112266	gene	654	BMP6	ENSG00000153162,ENST00000283147
112267	gene	655	BMP7	ENSG00000101144,ENST00000395863
112270	predominantly phenotypes			
112300	phenotype			
112310	phenotype			
112350	phenotype			
112370	predominantly phenotypes			
112410	phenotype			
112430	predominantly phenotypes			
112440	phenotype			
112450	predominantly phenotypes			
112500	phenotype			
112600	phenotype			
112700	phenotype			
112800	phenotype			
112900	moved/removed			
112910	predominantly phenotypes			
113000	phenotype			
113100	phenotype			
113200	phenotype			
113300	phenotype			
113301	predominantly phenotypes			
113310	predominantly phenotypes			
113400	predominantly phenotypes			
113450	predominantly phenotypes			
113470	predominantly phenotypes			
113475	predominantly phenotypes			
113477	predominantly phenotypes			
113480	predominantly phenotypes			
113500	phenotype			
113503	gene	624	BDKRB2	ENSG00000168398,ENST00000554311
113505	gene	627	BDNF	ENSG00000176697,ENST00000525950
113508	gene	7533	YWHAH	ENSG00000128245,ENST00000248975
113510	gene			
113520	gene	586	BCAT1	ENSG00000060982,ENST00000261192
113530	gene	587	BCAT2	ENSG00000105552,ENST00000316273
113600	predominantly phenotypes			
113610	predominantly phenotypes			
113620	phenotype			
113630	moved/removed			
113640	moved/removed			
113650	phenotype			
113660	moved/removed			
113670	phenotype			
113700	phenotype			
113703	gene	6137	RPL13	ENSG00000167526,ENST00000311528
113705	gene	672	BRCA1	ENSG00000012048,ENST00000357654
113710	gene	7031	TFF1	ENSG00000160182,ENST00000291527
113720	gene			
113721	gene	8142		
113725	gene	5458	POU4F2	ENSG00000151615,ENST00000281321
113730	gene	7350	UCP1	ENSG00000109424,ENST00000262999
113750	phenotype			
113800	phenotype			
113810	gene	667	DST	ENSG00000151914,ENST00000370788
113811	gene	1308	COL17A1	ENSG00000065618,ENST00000353479
113900	phenotype			
113950	phenotype			
113955	gene			
113960	predominantly phenotypes			
113970	phenotype			
113995	gene	728	C5AR1	ENSG00000197405,ENST00000595501
114000	phenotype			
114010	gene	790	CAD	ENSG00000084774,ENST00000264705
114019	gene	1013	CDH15	ENSG00000129910,ENST00000289746
114020	gene	1000	CDH2	ENSG00000170558,ENST00000269141
114021	gene	1001	CDH3	ENSG00000062038,ENST00000264012
114025	gene	1496	CTNNA2	ENSG00000066032,ENST00000496558
114030	predominantly phenotypes			
114050	gene	793	CALB1	ENSG00000104327,ENST00000265431
114051	gene	794	CALB2	ENSG00000282830,ENST00000635371
114065	predominantly phenotypes			
114070	gene	309	ANXA6	ENSG00000197043,ENST00000354546
114078	gene	815	CAMK2A	ENSG00000070808,ENST00000348628
114080	gene	814	CAMK4	ENSG00000152495,ENST00000282356
114085	gene	6281	S100A10	ENSG00000197747,ENST00000368811
114090	gene	831	CAST	ENSG00000153113,ENST00000484552
114100	phenotype			
114105	gene	5530	PPP3CA	ENSG00000138814,ENST00000394854
114106	gene	5532	PPP3CB	ENSG00000107758,ENST00000360663
114107	gene	5533	PPP3CC	ENSG00000120910,ENST00000289963
114110	gene	6277	S100A6	ENSG00000197956,ENST00000496817
114120	moved/removed			
114130	gene	796	CALCA	ENSG00000110680,ENST00000331587
114131	gene	799	CALCR	ENSG00000004948,ENST00000421592
114140	phenotype			
114150	phenotype			
114160	gene	797	CALCB	ENSG00000175868,ENST00000523376
114170	gene	826	CAPNS1	ENSG00000126247,ENST00000246533
114180	gene	801	CALM1	ENSG00000198668,ENST00000356978
114181	moved/removed			
114182	gene	805	CALM2	ENSG00000160014,ENST00000291295
114183	gene	808	CALM3	ENSG00000160014,ENST00000291295
114184	gene	810	CALML3	ENSG00000178363,ENST00000315238
114190	gene	10203	CALCRL	ENSG00000064989,ENST00000392370
114200	phenotype	100381210		
114204	gene	781	CACNA2D1	ENSG00000153956,ENST00000356860
114205	gene	775	CACNA1C	ENSG00000151067,ENST00000399655
114206	gene	776	CACNA1D	ENSG00000157388,ENST00000288139
114207	gene	782	CACNB1	ENSG00000067191,ENST00000394303
114208	gene	779	CACNA1S	ENSG00000081248,ENST00000362061
114209	gene	786	CACNG1	ENSG00000108878,ENST00000226021
114210	gene	6275	S100A4	ENSG00000196154,ENST00000368716
114212	gene	828	CAPS	ENSG00000105519,ENST00000588776
114213	gene	800	CALD1	ENSG00000122786,ENST00000361901
114217	gene	821	CANX	ENSG00000127022,ENST00000247461
114220	gene	823	CAPN1	ENSG00000014216,ENST00000533820
114230	gene	824	CAPN2	ENSG00000162909,ENST00000295006
114240	gene	825	CAPN3	ENSG00000092529,ENST00000349748
114250	gene	844	CASQ1	ENSG00000143318,ENST00000368078
114251	gene	845	CASQ2	ENSG00000118729,ENST00000261448
114260	moved/removed			
114280	gene	1043	CD52	ENSG00000169442,ENST00000374213
114290	phenotype			
114300	phenotype			
114350	gene	8021	NUP214	ENSG00000126883,ENST00000359428
114400	moved/removed			
114450	predominantly phenotypes	8105		
114480	phenotype			
114500	phenotype			
114550	phenotype			
114580	phenotype	117084		
114600	phenotype			
114610	gene	1268	CNR1	ENSG00000118432,ENST00000369501
114620	predominantly phenotypes			
114650	predominantly phenotypes			
114700	predominantly phenotypes			
114750	gene	761	CA3	ENSG00000164879,ENST00000285381
114760	gene	762	CA4	ENSG00000167434,ENST00000300900
114761	gene	763	CA5A	ENSG00000174990,ENST00000309893
114770	gene	766	CA7	ENSG00000168748,ENST00000338437
114780	gene	765	CA6	ENSG00000131686,ENST00000377443
114800	gene	759	CA1	ENSG00000133742,ENST00000523953
114815	gene	767	CA8	ENSG00000178538,ENST00000317995
114830	gene	873	CBR1	ENSG00000159228,ENST00000290349
114835	gene/phenotype	1066	CES1	ENSG00000198848,ENST00000422046
114836	moved/removed			
114840	gene	1056	CEL	ENSG00000170835,ENST00000372080
114841	moved/removed			
114850	gene	1357	CPA1	ENSG00000091704,ENST00000011292
114851	gene	1359	CPA3	ENSG00000163751,ENST00000296046
114852	gene	1360	CPB1	ENSG00000153002,ENST00000491148
114855	gene	1363	CPE	ENSG00000109472,ENST00000402744
114860	gene	1368	CPM	ENSG00000135678,ENST00000551568
114890	gene	1048	CEACAM5	ENSG00000105388,ENST00000221992
114900	phenotype			
115000	predominantly phenotypes			
115080	phenotype			
115150	phenotype			
115195	phenotype			
115196	phenotype			
115197	phenotype			
115198	moved/removed			
115200	phenotype			
115210	phenotype			
115250	predominantly phenotypes			
115300	phenotype			
115310	phenotype			
115400	predominantly phenotypes			
115430	phenotype			
115435	gene	1404	HAPLN1	ENSG00000145681,ENST00000274341
115437	gene	4146	MATN1	ENSG00000162510,ENST00000373765
115440	gene	1457	CSNK2A1	ENSG00000101266,ENST00000349736
115441	gene	1460	CSNK2B	ENSG00000224774,ENST00000451917
115442	gene	1459	CSNK2A2	ENSG00000070770,ENST00000262506
115450	gene	1446	CSN1S1	ENSG00000126545,ENST00000246891
115460	gene	1447	CSN2	ENSG00000283030,ENST00000635174
115470	phenotype			
115500	gene	847	CAT	ENSG00000121691,ENST00000241052
115501	gene	7306	TYRP1	ENSG00000107165,ENST00000388918
